Column,Original,Encoded
purpose,car,0
purpose,credit_card,1
purpose,debt_consolidation,2
purpose,home_improvement,3
purpose,house,4
purpose,major_purchase,5
purpose,medical,6
purpose,moving,7
purpose,other,8
purpose,renewable_energy,9
purpose,small_business,10
purpose,vacation,11
purpose,wedding,12
type,direct_pay,type_direct_pay
type,individual,type_individual
type,joint,type_joint
verification_status,not verified,verification_status_not verified
verification_status,source verified,verification_status_source verified
verification_status,verified,verification_status_verified
state,AK,0
state,AL,1
state,AR,2
state,AZ,3
state,CA,4
state,CO,5
state,CT,6
state,DC,7
state,DE,8
state,FL,9
state,GA,10
state,HI,11
state,ID,12
state,IL,13
state,IN,14
state,KS,15
state,KY,16
state,LA,17
state,MA,18
state,MD,19
state,ME,20
state,MI,21
state,MN,22
state,MO,23
state,MS,24
state,MT,25
state,NC,26
state,ND,27
state,NE,28
state,NH,29
state,NJ,30
state,NM,31
state,NV,32
state,NY,33
state,OH,34
state,OK,35
state,OR,36
state,PA,37
state,RI,38
state,SC,39
state,SD,40
state,TN,41
state,TX,42
state,UT,43
state,VA,44
state,VT,45
state,WA,46
state,WI,47
state,WV,48
state,WY,49
addr_state,AK,0
addr_state,AL,1
addr_state,AR,2
addr_state,AZ,3
addr_state,CA,4
addr_state,CO,5
addr_state,CT,6
addr_state,DC,7
addr_state,DE,8
addr_state,FL,9
addr_state,GA,10
addr_state,HI,11
addr_state,ID,12
addr_state,IL,13
addr_state,IN,14
addr_state,KS,15
addr_state,KY,16
addr_state,LA,17
addr_state,MA,18
addr_state,MD,19
addr_state,ME,20
addr_state,MI,21
addr_state,MN,22
addr_state,MO,23
addr_state,MS,24
addr_state,MT,25
addr_state,NC,26
addr_state,ND,27
addr_state,NE,28
addr_state,NH,29
addr_state,NJ,30
addr_state,NM,31
addr_state,NV,32
addr_state,NY,33
addr_state,OH,34
addr_state,OK,35
addr_state,OR,36
addr_state,PA,37
addr_state,RI,38
addr_state,SC,39
addr_state,SD,40
addr_state,TN,41
addr_state,TX,42
addr_state,UT,43
addr_state,VA,44
addr_state,VT,45
addr_state,WA,46
addr_state,WI,47
addr_state,WV,48
addr_state,WY,49
loan_status,charged off,loan_status_charged off
loan_status,current,loan_status_current
loan_status,default,loan_status_default
loan_status,fully paid,loan_status_fully paid
loan_status,in grace period,loan_status_in grace period
loan_status,late (16-30 days),loan_status_late (16-30 days)
loan_status,late (31-120 days),loan_status_late (31-120 days)
letter_grade,A,0
letter_grade,B,1
letter_grade,C,2
letter_grade,D,3
letter_grade,E,4
letter_grade,F,5
letter_grade,G,6
home_ownership,any,home_ownership_any
home_ownership,mortgage,home_ownership_mortgage
home_ownership,own,home_ownership_own
home_ownership,rent,home_ownership_rent
emp_length,< 1 year,0
emp_length,1 year,1
emp_length,2 years,2
emp_length,3 years,3
emp_length,4 years,4
emp_length,5 years,5
emp_length,6 years,6
emp_length,7 years,7
emp_length,8 years,8
emp_length,9 years,9
emp_length,10+ years,10
emp_length,36 months,36
emp_length,60 months,60
Pymnt Plan,True,1
Pymnt Plan,False,0
salary_can_cover,True,1
salary_can_cover,False,0
